I,J_Q_L,J_Q_R,P1,P_el,P_erg,T_period,W_A,W_coh,W_inc,abs_C,converged,first_law_residual,mode,r,residual_particle_avg,theta
0.18000359900626253,0.2517344969747066,-0.13696724891841547,0.4224742800203279,0.10800215940375751,0.00014657783343577369,0.8,0.00011726226674861895,0.00011726226674861895,0.0,0.04876788378263774,1,-0.005414347742655746,coherent,1.25,9.488268632867891e-06,0.45
0.19699151690712213,0.27460031163505655,-0.1524818575992776,0.3819486991392481,0.11819491014427327,6.575674861908354e-05,1.5,9.863512292862531e-05,9.863512292862531e-05,0.0,0.0446174446574246,1,-0.005894730775198184,coherent,0.6666666666666666,2.092268905121153e-05,0.45
0.20782435151311,0.2891606019940782,-0.16239558451748812,0.3563300857409003,0.12469461090786599,2.7992512362895464e-05,3.0,8.397753708868639e-05,8.397753708868639e-05,0.0,0.04111462461602614,1,-0.0062522467658195635,coherent,0.3333333333333333,4.558583690641993e-05,0.45
0.2067723830346687,0.28710007959636114,-0.16303706715706537,0.3336144553864359,0.12406342982080121,3.554996059473847e-07,0.8,2.8439968475790777e-07,2.8439968475790777e-07,0.0,0.03586295828449625,1,4.6730835130404107e-07,matched,1.25,-5.574223397031286e-07,0.45
0.21273553990734673,0.2954118615114328,-0.16777140927735515,0.3360379427609924,0.12764132394440802,5.739875751806697e-07,1.5,8.609813627710045e-07,8.609813627710045e-07,0.0,0.03731463347430094,1,1.8310914280256219e-06,matched,0.6666666666666666,-1.1639726377465909e-06,0.45
0.21609172372792088,0.30009139865836243,-0.17043820131719756,0.3374395922490388,0.1296550342367525,4.1338585052147494e-07,3.0,1.240157551564425e-06,1.240157551564425e-06,0.0,0.03787679693749957,1,7.717993497358133e-06,matched,0.3333333333333333,-2.452805302394223e-06,0.45
0.2007166066331254,0.28003065405731375,-0.15264186750032105,0.38826241359017044,0.12042996397987524,0.0,0.8,0.0,0.0,0.0,0.0,1,-0.005568381088355379,incoherent,1.25,5.513988770161626e-06,0.45
0.21061840735514434,0.29320850095414475,-0.16283584121722947,0.3618182016364592,0.1263710444130866,0.0,1.5,0.0,0.0,0.0,0.0,1,-0.006007320244283382,incoherent,0.6666666666666666,1.0883437630976323e-05,0.45
0.21503334213241831,0.29900090237183696,-0.1679040801832993,0.3478948840462964,0.12902000527945098,0.0,3.0,0.0,0.0,0.0,0.0,1,-0.006251288461180837,incoherent,0.3333333333333333,2.3153288575911146e-05,0.45
0.21942705453463912,0.30474251373026884,-0.17308628100948534,0.3383621264784181,0.13165623272078347,0.0,0.8,0.0,0.0,0.0,0.04227001455448517,1,-8.881784197001253e-17,none,1.25,8.326672684688674e-17,0.0
0.21942705453463898,0.3047425137302686,-0.1730862810094853,0.3383621264784181,0.1316562327207834,0.0,1.5,0.0,0.0,0.0,0.04227001455448516,1,1.1102230246251565e-16,none,0.6666666666666666,0.0,0.0
0.21942705453463915,0.3047425137302689,-0.17308628100948517,0.3383621264784181,0.13165623272078347,0.0,3.0,0.0,0.0,0.0,0.04227001455448516,1,-1.2212453270876722e-15,none,0.3333333333333333,3.3306690738754696e-16,0.0
