I,J_Q_L,J_Q_R,P1,P_el,P_erg,T_period,W_A,W_coh,W_inc,abs_C,converged,first_law_residual,r,residual_particle_avg,scan,theta
0.21830640794313808,0.3032006183467217,-0.17216157188677148,0.33896046996337625,0.13098384476588285,5.984638096127407e-07,1.5,8.976957144191112e-07,8.976957144191112e-07,0.0,0.04231935929861448,1,-8.289469410964478e-05,0.6666666666666666,2.0534699735064166e-07,theta,0.05
0.2146208560020706,0.29820546327212916,-0.1689065106051415,0.3441206758476336,0.12877251360124234,6.034118268183341e-06,1.5,9.051177402275013e-06,9.051177402275013e-06,0.0,0.04272898517720706,1,-0.0007905218937028363,0.6666666666666666,1.9191238370686037e-06,theta,0.15555555555555556
0.20932204027086376,0.29108475139627915,-0.16405164928680435,0.3542313639680448,0.12559322416251825,1.8354291516546143e-05,1.5,2.7531437274819216e-05,2.7531437274819216e-05,0.0,0.043435714889114366,1,-0.0021621287141402185,0.6666666666666666,5.138015238298488e-06,theta,0.2611111111111111
0.20276215633774589,0.28230570993808846,-0.15793087872027042,0.3684904221140155,0.12165729380264753,4.0018305857951e-05,1.5,6.0027458786926506e-05,6.0027458786926506e-05,0.0,0.044192418944844054,1,-0.004080569343518636,0.6666666666666666,9.474437341727704e-06,theta,0.36666666666666664
0.19539264311178664,0.2724670239097872,-0.15097310622040683,0.38577810822742903,0.11723558586707197,7.412586652037292e-05,1.5,0.0001111887997805594,0.0001111887997805594,0.0,0.04468182710179136,1,-0.00639401268504268,0.6666666666666666,1.4478255684791108e-05,theta,0.4722222222222222
0.18769177607953322,0.2622026029638013,-0.1436344782228107,0.40483636407883034,0.11261506564771992,0.00012353938185722947,1.5,0.0001853090727858442,0.0001853090727858442,0.0,0.044581407006129954,1,-0.008938454555588393,0.6666666666666666,1.9702722938164108e-05,theta,0.5777777777777778
0.1801016470514074,0.2520978384778127,-0.13633932068925242,0.4244350798712955,0.10806098823084444,0.00018976441860448406,1.5,0.0002846466279067261,0.0002846466279067261,0.0,0.0436207218401649,1,-0.011557434390197296,0.6666666666666666,2.4756373689149846e-05,theta,0.6833333333333333
0.1729863110655755,0.24263401432118828,-0.12944079278939322,0.4434916301215627,0.1037917866393453,0.0002718970082518757,1.5,0.00040784551237781357,0.00040784551237781357,0.0,0.04161942748431755,1,-0.014115351982156368,0.6666666666666666,2.9333189586644437e-05,theta,0.788888888888889
0.16661349140682463,0.2341640499301938,-0.12320348614270409,0.46113314280031503,0.09996809484409477,0.00036601418807686117,1.5,0.0005490212821152918,0.0005490212821152918,0.0,0.03850281432038125,1,-0.01650365260262754,0.6666666666666666,3.3220993875232585e-05,theta,0.8944444444444445
0.16115543459584872,0.2269137131973603,-0.11780386013427867,0.47670919896983943,0.09669326075750923,0.0004652755550100141,1.5,0.0006979133325150211,0.0006979133325150211,0.0,0.03429848743862344,1,-0.018641220616198842,0.6666666666666666,3.629419929590538e-05,theta,1.0
