J_Q_L,J_Q_R,P_el,P_erg,T,W_A,W_coh,abs_C,converged,eta,first_law_residual,r,theta
0.22673294512175685,-0.12017871314214804,0.09688804386859441,0.00026570717249931877,0.5,0.00013285358624965938,0.00013285358624965938,0.052068166411544846,1,0.4273223012057864,-0.004833550250159718,2.0,0.45
0.2396529319990059,-0.12882732911155947,0.10262671785087793,0.00020018228855142906,0.626725535861545,0.0001254593520623848,0.0001254593520623848,0.0505165277675667,1,0.428230595782169,-0.005139259143556863,1.5955947903500107,0.45
0.2508973254489016,-0.13640452410300027,0.10762946085767358,0.00015003761015272698,0.7855697946018815,0.00011786501459023491,0.00011786501459023491,0.04889780762752156,1,0.4289781115247228,-0.00539302872651387,1.2729613674960472,0.45
0.260529723010175,-0.14292540789797073,0.11192020624514917,0.00011231330471908855,0.9846733009570161,0.00011059191249913615,0.00011059191249913615,0.047313452981961414,1,0.4295870926050849,-0.005599350067107108,1.015565263146759,0.45
0.2686641209429697,-0.14844945306472435,0.1155468441329421,8.41745383576768e-05,1.2342398043816847,0.00010389156575649761,0.00010389156575649761,0.04581811305683574,1,0.43007917740333346,-0.005765138733351042,0.8102153215687032,0.45
0.27544884755534865,-0.15306630480945135,0.1185736367875738,6.324780221940467e-05,1.5470592055655197,9.78480946553173e-05,9.78480946553173e-05,0.04443539583138929,1,0.430474252624156,-0.005899047939878555,0.6463876730783907,0.45
0.2810508023162526,-0.15688279570468472,0.12107387236589266,4.768528007478389e-05,1.9391630192351728,9.246953168289274e-05,9.246953168289274e-05,0.04317407503153429,1,0.43078999016574304,-0.006010510073601842,0.5156864018551731,0.45
0.2856406062410053,-0.1600112136685568,0.12312299555706477,3.610370607572483e-05,2.4306459647061103,8.775532748389603e-05,8.775532748389603e-05,0.04204186486269907,1,0.4310416406733903,-0.0061090745432926105,0.4114132681272281,0.45
0.2893801379941362,-0.16255965071798958,0.12479286053169586,2.748034036103631e-05,3.046695789440278,8.372423727035506e-05,8.372423727035506e-05,0.04105177564880381,1,0.43124196911615464,-0.006204689342573061,0.3282244336523386,0.45
0.29241463890235986,-0.16462585292651724,0.12614807983647808,2.1052979678698267e-05,3.8188841024881435,8.039888940498675e-05,8.039888940498675e-05,0.04021831241804671,1,0.43140138369953557,-0.006308976204096971,0.26185659820062707,0.45
0.2948697938963744,-0.1662947563100111,0.12724464272364389,1.6246909701754484e-05,4.786784371050034,7.777045343821954e-05,7.777045343821954e-05,0.03954792819674117,1,0.43152823842092575,-0.0064371862374301946,0.20890851195384824,0.45
0.29685208640934607,-0.16763843084346627,0.12813002634207718,1.2630266349156205e-05,6.0,7.578159809493724e-05,7.578159809493724e-05,0.03903339811940889,1,0.43162919247733184,-0.006610930318554309,0.16666666666666666,0.45
