I,J_Q_L,J_Q_R,P1,P_el,V,abs_C,eta,min_eig
0.1796007204755547,0.2764480836722786,-0.11480743524427914,0.35198068056427356,0.16164064842799925,-0.9,0.037015627046798616,0.5847052592327595,0.13810088108746926
0.1872516574767814,0.2835241323494946,-0.12436022349423048,0.3487289972260572,0.15916390885526419,-0.85,0.03800522618068776,0.5613769365461491,0.13567882120137212
0.19446656468436982,0.2895698371851446,-0.13399658543764886,0.3459007979693268,0.15557325174749587,-0.8,0.038943393076899056,0.5372564119930272,0.13348125547618753
0.20126830018903943,0.29465130212700386,-0.14370007698522413,0.3434731674935465,0.15095122514177958,-0.75,0.03983479687993099,0.5123046260176204,0.13149910302231876
0.2076801199445548,0.2988329141220557,-0.1534568301608671,0.3414229072547753,0.14537608396118834,-0.7,0.04068376125639112,0.4864794910168789,0.1297223072744291
0.2137253405441842,0.3021768178208407,-0.16325534646712087,0.33972685016951165,0.13892147135371974,-0.65,0.04149427649619591,0.45973570161853267,0.12814016250125662
0.21942705453463907,0.3047425137302688,-0.1730862810094852,0.338362126478418,0.13165623272078344,-0.6,0.042270014554485175,0.43202450196139663,0.12674158789878484
0.22480789549419367,0.30658656681547003,-0.1829422242936634,0.33730638277406866,0.12364434252180653,-0.55,0.043014346022523,0.4032934117306785,0.125515354181976
0.2298898491528653,0.3077624118471835,-0.1928174872707508,0.3365379573325983,0.11494492457643266,-0.5,0.043730358218807844,0.3734859104025591,0.12445026777932852
0.23469410623171588,0.3083202417551808,-0.20270789395090852,0.3360360156372489,0.10561234780427214,-0.45,0.044420873767586536,0.3425410774299171,0.12353531769119586
0.239240952371013,0.30830696572330174,-0.2126105847748965,0.33578065040151156,0.09569638094840521,-0.4,0.045088469181137854,0.31039318467520605,0.12275978987795352
0.24354969044596259,0.3077662246025048,-0.22252383294641798,0.33575295055382903,0.0852423916560869,-0.35,0.045735493086129994,0.27697123609382945,0.12211335375091249
0.2476385906787766,0.30673845229779667,-0.23244687509416403,0.3359350435955951,0.07429157720363297,-0.29999999999999993,0.046364083835448745,0.242198448375514,0.12158612498435181
0.25152486419691833,0.30526097299730937,-0.24237975694807973,0.3363101155449643,0.06288121604922958,-0.25,0.04697618632792058,0.205991664875496,0.1211687084784378
0.25522465601614513,0.3033681253732197,-0.2523231941699907,0.336862412378644,0.05104493120322902,-0.19999999999999996,0.04757356792218321,0.16826069363889437,0.12085222490072339
0.25875305380773056,0.3010914061314128,-0.2622784480602529,0.3375772265219741,0.03881295807115959,-0.15000000000000002,0.04815783338035064,0.12890755857116523,0.12062832383406341
0.26212410921350815,0.2984596264745961,-0.2722472155532454,0.3384408715456449,0.02621241092135081,-0.09999999999999998,0.048730438814620386,0.0878256507621205,0.12048918617283745
0.26535086887867715,0.29549907614236254,-0.28223153269842893,0.3394406478291062,0.013267543443933839,-0.04999999999999993,0.04929270463781594,0.04489876454822463,0.12042751804566929
0.2684454127649345,0.29223369068401706,-0.29223369068401706,0.3405648015634433,-0.0,0.0,0.04984582753900024,nan,0.1204365382069198
0.2714188976749522,0.2886852184981735,-0.30225616338192135,0.34180247910189243,-0.013570944883747622,0.050000000000000044,0.05039089151936324,nan,0.12050996053425014
0.2742816042568822,0.28487338493644254,-0.3123015453621301,0.3431436783316105,-0.027428160425688214,0.09999999999999998,0.05092887803294251,nan,0.12064197299686838
0.2770429860610495,0.280816051421267,-0.3223724993304242,0.34457919843967755,-0.041556447909157426,0.15000000000000002,0.05146067528248479,nan,0.12082721421852292
0.279711719489279,0.27652936807771406,-0.33247171197556996,0.34610058918089937,-0.055942343897855816,0.20000000000000007,0.05198708672378748,nan,0.12106074854971922
0.2822957537109248,0.27202791883511007,-0.3426018572628416,0.3477001005243317,-0.07057393842773123,0.2500000000000001,0.05250883883288407,nan,0.12133804038310533
0.2848023598205206,0.2673248583272784,-0.35276556627343436,0.349370633357787,-0.08544070794615623,0.30000000000000016,0.053026588190008744,nan,0.12165492829211531
0.287238178682441,0.2624320402201649,-0.36296540275901884,0.351105691762414,-0.10053336253885435,0.35,0.05354092793281795,nan,0.12200759944318937
0.289609267051004,0.25736013683304193,-0.37320384365344345,0.3528993372298469,-0.1158437068204016,0.4,0.054052393629206184,nan,0.12239256462350862
